,breed,Energy Level,Exercise Requirements,Playfulness,Affection Level,Friendliness to Dogs,Friendliness to Other Pets,Friendliness to Strangers,Watchfulness,Ease of Training,Grooming Requirements,Heat Sensitivity,Vocality
0,Papillon/Border Collie,4.5,3.0,4.5,4.0,3.5,2.5,3.0,2.0,5.0,3.0,3.0,4.5
1,Chihuahua Shorthair/Pomeranian,4.0,1.0,4.0,1.0,1.0,3.0,1.0,1.0,1.0,3.0,3.0,5.0
2,Miniature Schnauzer/Miniature Poodle,3.5,3.0,4.5,4.0,3.5,3.0,3.5,1.0,4.0,4.0,3.0,5.0
3,German Shepherd/Labrador Retriever,3.5,3.5,3.5,4.0,2.5,4.0,3.5,3.5,5.0,2.0,3.0,4.5
4,Cardigan Welsh Corgi/English Setter,3.5,3.5,3.0,3.5,2.5,4.0,4.0,3.0,3.5,2.0,3.0,4.5
5,Australian Shepherd/Australian Cattle Dog,4.5,5.0,4.5,4.0,3.0,2.5,2.0,4.0,5.0,2.5,3.0,5.0
6,Basenji/Chihuahua Longhair,4.0,3.0,3.0,3.0,2.0,1.0,3.0,1.0,2.0,1.0,3.0,5.0
7,Siberian Husky/German Shepherd,3.0,4.0,3.0,3.5,2.0,3.0,3.5,3.0,3.0,2.5,4.0,4.0
8,German Shepherd/Boxer,4.0,3.5,3.5,4.0,2.0,3.0,2.5,5.0,4.0,1.5,4.0,4.0
9,Labrador Retriever/German Shepherd,3.5,3.5,3.5,4.0,2.5,4.0,3.5,3.5,5.0,2.0,3.0,4.5
10,German Shepherd/Chow Chow,2.0,3.0,1.5,2.5,1.0,3.0,1.5,4.5,3.0,2.5,4.0,5.0
11,Pit Bull/Labrador Retriever,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
12,Beagle/Chihuahua Longhair,3.0,3.0,4.0,5.0,5.0,5.0,5.0,1.0,1.0,1.0,3.0,4.0
13,Parson Russell Terrier/Chihuahua Shorthair,5.0,4.0,5.0,3.0,2.0,1.0,3.0,2.0,3.0,3.0,3.0,5.0
14,Catahoula/Labrador Retriever,4.0,3.0,5.0,5.0,4.0,5.0,5.0,2.0,5.0,2.0,3.0,4.0
15,Chihuahua Shorthair/Dachshund,4.0,2.0,3.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,3.0,5.0
16,Boxer/Pit Bull,5.0,3.0,5.0,5.0,3.0,3.0,3.0,5.0,3.0,1.0,5.0,3.0
17,Boxer/Labrador Retriever,4.5,3.0,5.0,5.0,3.5,4.0,4.0,3.5,4.0,1.5,4.0,3.5
18,Chihuahua Shorthair/Cardigan Welsh Corgi,3.0,3.0,3.0,3.0,2.0,4.0,3.0,4.0,4.0,1.0,3.0,5.0
19,German Shepherd/Pembroke Welsh Corgi,3.0,3.5,2.5,3.5,2.0,3.5,3.0,4.5,4.5,1.5,3.0,5.0
